Party,Title,State,Full Name,Committees,Years in this Chamber,Gun Rights,NRA Grand Total,Top Industry,Total Industry Amount,Top Contributor,Total Contributor Amount,@Photo
Republican,Representative,Louisiana,Ralph Lee Abraham,"Agriculture  
Armed Services  
Science, Space, and Technology ",3,"$10,474","-$13,536",Crop Production & Basic Processing,"$172,621",Majority Cmte PAC,"$25,000",/Users/enickles/Desktop/thumbsbw/Abraham_Ralph_Lee.jpg
Democrat,Representative,North Carolina,Alma S. Adams,"Agriculture  
Education and the Workforce  
Small Business 
Joint Economic Committee",4,$0,$0,Health Professionals,"$125,000",EMILY's List,"$62,819",/Users/enickles/Desktop/thumbsbw/Adams_Alma_S.jpg
Republican,Representative,Alabama,Robert B. Aderholt,Appropriations ,21,"$73,271","$49,928",Lawyers/Law Firms,"$437,823",Southern Co,"$130,334",/Users/enickles/Desktop/thumbsbw/Aderholt_Robert_B.jpg
Democrat,Representative,California,Pete Aguilar,Appropriations ,3,$0,"-$12,268",Lawyers/Law Firms,"$389,927",JStreetPAC,"$90,591",/Users/enickles/Desktop/thumbsbw/Aguilar_Pete.jpg
Republican,Senator,Tennessee,Lamar Alexander,"Appropriations 
Energy and Natural Resources
Health, Education, Labor, and Pensions
Rules and Administration 
Joint Select Committee on Solvency of Multiemployer Pension Plans",15,"$44,943","$23,426",Pharmaceuticals/Health Products,"$671,601",Blue Cross/Blue Shield,"$101,750",/Users/enickles/Desktop/thumbsbw/Alexander_Lamar.jpg
Republican,Representative,Georgia,Rick W. Allen,"Agriculture  
Education and the Workforce ",3,"$15,700",$247,Retired,"$294,650",RW Allen LLC,"$51,050",/Users/enickles/Desktop/thumbsbw/Allen_Rick_W.jpg
Republican,Representative,Michigan,Justin Amash,Oversight and Government Reform ,7,"$17,046","$1,000",Republican/Conservative,"$404,781",Club for Growth,"$275,580",/Users/enickles/Desktop/thumbsbw/Amash_Justin.jpg
Republican,Representative,Nevada,Mark E. Amodei,Appropriations ,7,"$60,920","$18,640",Casinos/Gambling,"$234,079",Las Vegas Sands,"$42,100",/Users/enickles/Desktop/thumbsbw/Amodei_Mark_E.jpg
Republican,Representative,Texas,Jodey C. Arrington,"Agriculture  
Budget  
Veterans' Affairs 
Joint Select Committee on Budget and Appropriations Process Reform",1,"$9,000","$2,000",Crop Production & Basic Processing,"$94,566",Dian Graves Owen Foundation,"$13,600",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Texas,Brian Babin,"Science, Space, and Technology  
Transportation and Infrastructure ",3,"$17,700","$7,500",Health Professionals,"$572,769",American Dental Assn,"$55,750",/Users/enickles/Desktop/thumbsbw/Babin_Brian.jpg
Republican,Representative,Nebraska,Don Bacon,"Agriculture  
Armed Services  
Homeland Security ",1,"$35,078","$18,328",Leadership PACs,"$126,500",Green Plains,"$13,300",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Senator,Wisconsin,Tammy Baldwin,"Appropriations 
Commerce, Science, and Transportation
Health, Education, Labor, and Pensions",5,$0,"-$591,373",Retired,"$2,744,551",EMILY's List,"$648,686",/Users/enickles/Desktop/thumbsbw/Baldwin_Tammy.jpg
Republican,Representative,Indiana,Jim Banks,"Armed Services  
Science, Space, and Technology  
Veterans' Affairs ",1,"$24,902","$2,000",Defense Electronics,"$42,999",Harris Corp,"$15,500",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Pennsylvania,Lou Barletta,"Education and the Workforce  
Homeland Security  
Transportation and Infrastructure ",7,"$19,906","$3,915",Leadership PACs,"$544,362",Diamond Manufacturing,"$64,125",/Users/enickles/Desktop/thumbsbw/Barletta_Lou.jpg
Republican,Representative,Kentucky,Andy Barr,Financial Services ,5,"$16,248","$10,315",Retired,"$681,213",Alliance Resource Partners,"$137,850",/Users/enickles/Desktop/thumbsbw/Barr_Andy.jpg
Democrat,Representative,California,Nanette Diaz Barragan,"Homeland Security  
Natural Resources ",1,$0,$0,Lawyers/Law Firms,"$132,579",International Brotherhood of Electrical Workers,"$15,000",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Senator,Wyoming,John Barrasso,"Energy and Natural Resources
Environment and Public Works 
Foreign Relations
Committee on Indian Affairs",11,"$54,489","$22,489",Health Professionals,"$1,292,626",Chevron Corp,"$65,150",/Users/enickles/Desktop/thumbsbw/Barrasso_John.jpg
Republican,Representative,Texas,Joe Barton,Energy and Commerce ,33,"$86,762","$63,912",Oil & Gas,"$2,172,237",Anadarko Petroleum,"$181,000",/Users/enickles/Desktop/thumbsbw/Barton_Joe.jpg
Democrat,Representative,California,Karen Bass,"Foreign Affairs  
Judiciary ",7,$0,$0,TV/Movies/Music,"$350,742",Sony Corp,"$51,447",/Users/enickles/Desktop/thumbsbw/Bass_Karen.jpg
Democrat,Representative,Ohio,Joyce Beatty,Financial Services ,5,$0,$0,Insurance,"$410,508",Nationwide,"$113,500",/Users/enickles/Desktop/thumbsbw/Beatty_Joyce.jpg
Democrat,Senator,Colorado,Michael F. Bennet,"Agriculture, Nutrition, and Forestry
Finance 
Health, Education, Labor, and Pensions
Joint Select Committee on Budget and Appropriations Process Reform",9,"$117,540","-$868,024",Securities & Investment,"$3,315,931",League of Conservation Voters,"$340,147",/Users/enickles/Desktop/thumbsbw/Bennet_Michael_F.jpg
Democrat,Representative,California,Ami Bera,"Foreign Affairs  
Science, Space, and Technology ",5,$0,"-$12,730",Health Professionals,"$1,329,343",University of California,"$232,079",/Users/enickles/Desktop/thumbsbw/Bera_Ami.jpg
Republican,Representative,Michigan,Jack Bergman,"Budget  
Natural Resources  
Veterans' Affairs ",1,"$11,400","$6,450",Leadership PACs,"$90,000",Rdv Corp,"$18,900",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Washington,Jaime Herrera Beutler,Appropriations ,7,"$129,138","$95,298",Retired,"$566,801",Kiewit Corp,"$56,150",/Users/enickles/Desktop/thumbsbw/Herrera_Beutler_Jaime.jpg
Democrat,Representative,Virginia,Donald S. Beyer Jr.,"Natural Resources  
Science, Space, and Technology 
Joint Economic Committee",3,$0,$0,Lawyers/Law Firms,"$492,199","Akin, Gump et al","$52,893",/Users/enickles/Desktop/thumbsbw/Beyer_Donald_S.jpg
Republican,Representative,Arizona,Andy Biggs,"Judiciary  
Science, Space, and Technology ",1,"$5,000","$2,000",Leadership PACs,"$30,300",House Freedom Fund,"$20,800",/Users/enickles/Desktop/thumbsbw/blank.png
