Party	Title	State	Full Name	Committees	Committee 1	Committee 2	Committee 3	Committee 4	Committee 5	Committee 6	Committee 7	Years in Current Chamber	NRA Rank	NRA Grand Total	Top Industry	Total Industry Amount	Top Contributor	Total Contributor Amount	@Photo
Republican	Senator	Arizona	John McCain	Armed Services Homeland Security and Governmental Affairs  Indian Affairs Select Committee on Intelligence	Armed Services	Homeland Security and Governmental Affairs 	Indian Affairs	Select Committee on Intelligence				31	1	$7,755,701	Retired	$37,825,672	Merrill Lynch	$434,920	Macintosh HD:Users:enickles:Desktop:thumbsbw:McCain_John.jpg
Republican	Senator	North Carolina	Richard Burr	Finance  Health, Education, Labor, and Pensions Select Committee on Intelligence  Special Committee on Aging	Finance 	Health, Education, Labor, and Pensions	Select Committee on Intelligence 	Special Committee on Aging				13	2	$6,986,931	Retired	$2,512,010	Reynolds American	$290,076	Macintosh HD:Users:enickles:Desktop:thumbsbw:Burr_Richard.jpg
Republican	Senator	Missouri	Roy Blunt	Appropriations  Commerce, Science, and Transportation Rules and Administration  Joint Committee on the Library  Joint Select Committee on Budget and Appropriations Process Reform  Select Committee on Intelligence	Appropriations 	Commerce, Science, and Transportation	Rules and Administration 	Joint Committee on the Library 	Joint Select Committee on Budget and Appropriations Process Reform 	Select Committee on Intelligence		7	3	$4,551,146	Securities & Investment	$2,251,859	Edward Jones	$296,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Blunt_Roy.jpg
Republican	Senator	North Carolina	Thom Tillis	Commission on Security and Cooperation in Europe  Armed Services Banking, Housing, and Urban Affairs Veterans' Affairs Judiciary  Special Committee on Aging	Commission on Security and Cooperation in Europe 	Armed Services	Banking, Housing, and Urban Affairs	Veterans' Affairs	Judiciary 	Special Committee on Aging		3	4	$4,418,012	Retired	$1,305,939	Elliott Management	$123,700	Macintosh HD:Users:enickles:Desktop:thumbsbw:Tillis_Thom.jpg
Republican	Senator	Colorado	Cory Gardner	Budget Commission on Security and Cooperation in Europe  Commerce, Science, and Transportation Energy and Natural Resources Foreign Relations	Budget	Commission on Security and Cooperation in Europe 	Commerce, Science, and Transportation	Energy and Natural Resources	Foreign Relations			3	5	$3,879,264	Retired	$1,751,905	Club for Growth	$97,552	Macintosh HD:Users:enickles:Desktop:thumbsbw:Gardner_Cory.jpg
Republican	Senator	Florida	Marco Rubio	Commission on Security and Cooperation in Europe  Appropriations  Foreign Relations Small Business and Entrepreneurship Select Committee on Intelligence  Special Committee on Aging	Commission on Security and Cooperation in Europe 	Appropriations 	Foreign Relations	Small Business and Entrepreneurship	Select Committee on Intelligence 	Special Committee on Aging		7	6	$3,303,355	Retired	$13,232,895	Club for Growth	$690,606	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rubio_Marco.jpg
Republican	Senator	Iowa	Joni Ernst	Agriculture, Nutrition, and Forestry Armed Services Environment and Public Works  Small Business and Entrepreneurship Joint Select Committee on Budget and Appropriations Process Reform	Agriculture, Nutrition, and Forestry	Armed Services	Environment and Public Works 	Small Business and Entrepreneurship	Joint Select Committee on Budget and Appropriations Process Reform			3	7	$3,124,273	Leadership PACs	$363,036	Senate Conservatives Fund	$35,344	Macintosh HD:Users:enickles:Desktop:thumbsbw:Ernst_Joni_.jpg
Republican	Senator	Ohio	Rob Portman	Energy and Natural Resources Finance  Foreign Relations Homeland Security and Governmental Affairs  Joint Economic Committee  Joint Select Committee on Solvency of Multiemployer Pension Plans	Energy and Natural Resources	Finance 	Foreign Relations	Homeland Security and Governmental Affairs 	Joint Economic Committee 	Joint Select Committee on Solvency of Multiemployer Pension Plans		7	8	$3,061,941	Retired	$4,066,850	American Financial Group	$296,232	Macintosh HD:Users:enickles:Desktop:thumbsbw:Portman_Rob.jpg
Republican	Senator	Indiana	Todd C. Young	Commerce, Science, and Transportation Foreign Relations Health, Education, Labor, and Pensions Small Business and Entrepreneurship	Commerce, Science, and Transportation	Foreign Relations	Health, Education, Labor, and Pensions	Small Business and Entrepreneurship				1	9	$2,896,732	Retired	$2,426,955	Votesane PAC	$187,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Young_Todd_C.jpg
Republican	Senator	Louisiana	Bill Cassidy	Energy and Natural Resources Finance  Health, Education, Labor, and Pensions Veterans' Affairs Joint Economic Committee	Energy and Natural Resources	Finance 	Health, Education, Labor, and Pensions	Veterans' Affairs	Joint Economic Committee			3	10	$2,861,047	Health Professionals	$2,228,605	Edison Chouest Offshore	$111,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cassidy_Bill.jpg
Republican	Senator	Georgia	David Perdue	Agriculture, Nutrition, and Forestry Budget  Armed Services Banking, Housing, and Urban Affairs Joint Select Committee on Budget and Appropriations Process Reform	Agriculture, Nutrition, and Forestry	Budget 	Armed Services	Banking, Housing, and Urban Affairs	Joint Select Committee on Budget and Appropriations Process Reform			3	11	$1,985,773	Retired	$1,759,952	Club for Growth	$99,252	Macintosh HD:Users:enickles:Desktop:thumbsbw:Perdue_David.jpg
Republican	Senator	Arkansas	Tom Cotton	Armed Services Banking, Housing, and Urban Affairs Budget  Joint Economic Committee  Select Committee on Intelligence	Armed Services	Banking, Housing, and Urban Affairs	Budget 	Joint Economic Committee 	Select Committee on Intelligence			3	12	$1,968,714	Securities & Investment	$1,684,790	Club for Growth	$707,757	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cotton_Tom.jpg
