Name,Party,Office,Distid,NRA Direct Support,NRA Independent Support,NRA Independent Opposition,NRA Indep Expend for Opponent,NRA Indep Expend against opponent,NRA Grand Total,Rank,First Race,,
"Sullivan, Dan",R,S,AKS1,$0,$565,$0,$565,$0,$0,293,2014,,*Includes money for presidential contests if relevant. 
"Murkowski, Lisa",R,S,AKS2,"$20,050","$121,486",$0,$0,$0,"$141,536",32,2002,,
"Jones, Doug",D,S,ALS1,$0,$0,"$74,759",$0,$0,"-$74,759",505,2002,,"A few notes. These are career totals, and so therefore can go as far back as 1989. NRA direct support includes contributions from the NRA PAC and employees to caniddates.  Indirect support includes independent expenditures (and electioneering communications) supporting the candidate; opposition is IEs and ECs opposing the candidate.  ""Independent expenditures for opponent"" is spending by the NRA supporting a candidate OTHER than the member listed (note that could be someone of the same party, if they supported someone else in the primary), and ""Indep Expend against opponent"" is spending by the NRA opposing a candidate OTHER than the member listed. For the grand total, we summed the direct support + indirect support + indep expend against opponent, and then subtracted indirect opposition and inderect expenditures for the opponent.  This produces a grand total, which can be, and often is, negative. A negative value indicates that the NRA tends opposes this member.  
"
"Shelby, Richard C",R,S,ALS2,"$86,850","$172,614",$0,$0,$0,"$259,464",25,1980,,
"Cotton, Tom",R,S,ARS1,"$9,900","$1,958,814",$0,$0,$0,"$1,968,714",12,2012,,
"Boozman, John",R,S,ARS2,"$21,850","$60,502",$0,$0,$0,"$82,352",50,2001,,
"McCain, John",R,S,AZS1,"$37,450","$505,278",$0,$0,"$7,212,973","$7,755,701",1,1982,,
"Flake, Jeff",R,S,AZS2,"$18,400","$346,902",$0,$0,$0,"$365,302",22,2000,,
"Harris, Kamala D",D,S,CAS1,$0,$0,$0,$0,$0,$0,293,2016,,
"Feinstein, Dianne",D,S,CAS2,$0,$0,$0,$0,$0,$0,293,1992,,
"Bennet, Michael F",D,S,COS1,$0,$0,"$38,813","$829,211",$0,"-$868,024",528,2009,,
"Gardner, Cory",R,S,COS2,"$5,950","$1,225,129","$59,935",$0,"$2,708,120","$3,879,264",5,2010,,
"Murphy, Christopher S",D,S,CTS1,$0,$0,"$85,074","$16,790",$0,"-$101,864",511,2006,,
"Blumenthal, Richard",D,S,CTS2,$0,$0,"$55,221","$9,096",$0,"-$64,317",502,2010,,
"Carper, Tom",D,S,DES1,$0,$0,$0,$0,$0,$0,293,1982,,
