"Representative Abraham, Ralph Lee",House: 2015-Present
"Representative Adams, Alma S.",House: 2014-Present
"Representative Aderholt, Robert B.",House: 1997-Present
"Representative Aguilar, Pete",House: 2015-Present
"Representative Allen, Rick W.",House: 2015-Present
"Representative Amash, Justin",House: 2011-Present
"Representative Amodei, Mark E.",House: 2011-Present
"Representative Babin, Brian",House: 2015-Present
"Representative Barletta, Lou",House: 2011-Present
"Representative Barr, Andy",House: 2013-Present
"Representative Barton, Joe",House: 1985-Present
"Representative Bass, Karen",House: 2011-Present
"Representative Beatty, Joyce",House: 2013-Present
"Representative Becerra, Xavier",House: 1993-2017
"Representative Bera, Ami",House: 2013-Present
"Representative Beyer, Donald S., Jr.",House: 2015-Present
"Representative Bilirakis, Gus M.",House: 2007-Present
"Representative Bishop, Mike",House: 2015-Present
"Representative Bishop, Rob",House: 2003-Present
"Representative Bishop, Sanford D., Jr.",House: 1993-Present
"Representative Black, Diane",House: 2011-Present
"Representative Blackburn, Marsha",House: 2003-Present
"Representative Blum, Rod",House: 2015-Present
"Representative Blumenauer, Earl",House: 1995-Present
"Representative Bonamici, Suzanne",House: 2012-Present
"Representative Bost, Mike",House: 2015-Present
"Representative Boyle, Brendan F.",House: 2015-Present
"Representative Brady, Kevin",House: 1997-Present
"Representative Brady, Robert A.",House: 1997-Present
"Representative Brat, Dave",House: 2014-Present
"Representative Bridenstine, Jim",House: 2013-Present
"Representative Brooks, Mo",House: 2011-Present
"Representative Brooks, Susan W.",House: 2013-Present
"Representative Brownley, Julia",House: 2013-Present
"Representative Buchanan, Vern",House: 2007-Present
"Representative Buck, Ken",House: 2015-Present
"Representative Bucshon, Larry",House: 2011-Present
"Representative Burgess, Michael C.",House: 2003-Present
"Representative Bustos, Cheri",House: 2013-Present
"Representative Butterfield, G. K.",House: 2004-Present
"Representative Byrne, Bradley",House: 2014-Present
"Representative Calvert, Ken",House: 1993-Present
"Representative Capuano, Michael E.",House: 1999-Present
"Representative Cardenas, Tony",House: 2013-Present
"Representative Carson, Andre",House: 2008-Present
"Representative Carter, Earl L. ""Buddy""",House: 2015-Present
"Representative Carter, John R.",House: 2003-Present
"Representative Cartwright, Matt",House: 2013-Present
"Representative Castor, Kathy",House: 2007-Present
"Representative Castro, Joaquin",House: 2013-Present
"Representative Chabot, Steve","House: 1995-2009, 2011-Present"
"Representative Chaffetz, Jason",House: 2009-2017
"Representative Chu, Judy",House: 2009-Present
"Representative Cicilline, David N.",House: 2011-Present
"Representative Clark, Katherine M.",House: 2013-Present
