"Alexander, Lamar",Senate: 2003-Present
"Baldwin, Tammy",Senate: 2013-Present
"Barrasso, John",Senate: 2007-Present
"Bennet, Michael F.",Senate: 2009-Present
"Blumenthal, Richard",Senate: 2011-Present
"Blunt, Roy",Senate: 2011-Present
"Booker, Cory A.",Senate: 2013-Present
"Boozman, John",Senate: 2011-Present
"Brown, Sherrod",Senate: 2007-Present
"Burr, Richard",Senate: 2005-Present
"Cantwell, Maria",Senate: 2001-Present
"Capito, Shelley Moore",Senate: 2015-Present
"Cardin, Benjamin L.",Senate: 2007-Present
"Carper, Thomas R.",Senate: 2001-Present
"Casey, Robert P., Jr.",Senate: 2007-Present
"Cassidy, Bill",Senate: 2015-Present
"Cochran, Thad",Senate: 1979-Present
"Collins, Susan M.",Senate: 1997-Present
"Coons, Christopher A.",Senate: 2010-Present
"Corker, Bob",Senate: 2007-Present
"Cornyn, John",Senate: 2002-Present
"Cortez Masto, Catherine ",Senate: 2017-Present
"Cotton, Tom",Senate: 2015-Present
"Crapo, Mike",Senate: 1999-Present
"Cruz, Ted",Senate: 2013-Present
"Daines, Steve",Senate: 2015-Present
"Donnelly, Joe",Senate: 2013-Present
"Duckworth, Tammy",Senate: 2017-Present
"Durbin, Richard J.",Senate: 1997-Present
"Enzi, Michael B.",Senate: 1997-Present
"Ernst, Joni ",Senate: 2015-Present
"Feinstein, Dianne",Senate: 1992-Present
"Fischer, Deb",Senate: 2013-Present
"Flake, Jeff",Senate: 2013-Present
"Franken, Al",Senate: 2009-2018
"Gardner, Cory",Senate: 2015-Present
"Gillibrand, Kirsten E.",Senate: 2009-Present
"Graham, Lindsey",Senate: 2003-Present
"Grassley, Chuck",Senate: 1981-Present
"Harris, Kamala D.",Senate: 2017-Present
"Hassan, Margaret Wood",Senate: 2017-Present
"Hatch, Orrin G.",Senate: 1977-Present
"Heinrich, Martin",Senate: 2013-Present
"Heitkamp, Heidi",Senate: 2013-Present
"Heller, Dean",Senate: 2011-Present
"Hirono, Mazie K.",Senate: 2013-Present
"Hoeven, John",Senate: 2011-Present
"Inhofe, James M.",Senate: 1994-Present
"Isakson, Johnny",Senate: 2005-Present
"Johnson, Ron",Senate: 2011-Present
"Kaine, Tim",Senate: 2013-Present
"Kennedy, John",Senate: 2017-Present
"King, Angus S., Jr.",Senate: 2013-Present
"Klobuchar, Amy",Senate: 2007-Present
"Lankford, James",Senate: 2015-Present
"Leahy, Patrick J.",Senate: 1975-Present
"Lee, Mike",Senate: 2011-Present
"Manchin, Joe, III",Senate: 2010-Present
"Markey, Edward J.",Senate: 2013-Present
"McCain, John",Senate: 1987-Present
"McCaskill, Claire",Senate: 2007-Present
"McConnell, Mitch",Senate: 1985-Present
"Menendez, Robert",Senate: 2006-Present
"Merkley, Jeff",Senate: 2009-Present
"Moran, Jerry",Senate: 2011-Present
"Murkowski, Lisa",Senate: 2003-Present
"Murphy, Christopher",Senate: 2013-Present
"Murray, Patty",Senate: 1993-Present
"Nelson, Bill",Senate: 2001-Present
"Paul, Rand",Senate: 2011-Present
"Perdue, David",Senate: 2015-Present
"Peters, Gary C.",Senate: 2015-Present
"Portman, Rob",Senate: 2011-Present
"Reed, Jack",Senate: 1997-Present
"Risch, James E.",Senate: 2009-Present
"Roberts, Pat",Senate: 1997-Present
"Rounds, Mike ",Senate: 2015-Present
"Rubio, Marco",Senate: 2011-Present
"Sanders, Bernard",Senate: 2007-Present
"Sasse, Ben ",Senate: 2015-Present
"Schatz, Brian",Senate: 2012-Present
"Schumer, Charles E.",Senate: 1999-Present
"Scott, Tim",Senate: 2013-Present
"Sessions, Jeff",Senate: 1997-2017
"Shaheen, Jeanne",Senate: 2009-Present
"Shelby, Richard C.",Senate: 1987-Present
"Stabenow, Debbie",Senate: 2001-Present
"Strange, Luther",Senate: 2017-2018
"Sullivan, Dan ",Senate: 2015-Present
"Tester, Jon",Senate: 2007-Present
"Thune, John",Senate: 2005-Present
"Tillis, Thom",Senate: 2015-Present
"Toomey, Pat",Senate: 2011-Present
"Udall, Tom",Senate: 2009-Present
"Van Hollen, Chris",Senate: 2017-Present
"Warner, Mark R.",Senate: 2009-Present
"Warren, Elizabeth",Senate: 2013-Present
"Whitehouse, Sheldon",Senate: 2007-Present
"Wicker, Roger F.",Senate: 2007-Present
"Wyden, Ron",Senate: 1996-Present
"Young, Todd C.",Senate: 2017-Present
